Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Mitotic Spindle Organization (GO:0007052),19/85,1.4818369196084037e-15,2.91477322086973e-12,0,0,15.726383951244287,536.9851475096772,STIL;PLK1;CDCA8;KIF23;TTK;KIF11;CKAP5;AURKB;NDC80;AURKA;CENPE;TPX2;CCNB1;KIFC1;PRC1;KIF4A;NUF2;BIRC5;DLGAP5
GO_Biological_Process_2023,Microtubule Cytoskeleton Organization Involved In Mitosis (GO:1902850),16/59,9.712256054478972e-15,9.55200382958007e-12,0,0,20.18166591509373,651.1692771236148,STIL;PLK1;CDCA8;TTK;KIF11;CKAP5;AURKB;NDC80;CENPE;CCNB1;KIF4A;NUF2;NUSAP1;CDK1;BIRC5;DLGAP5
GO_Biological_Process_2023,Mitotic Sister Chromatid Segregation (GO:0000070),20/111,2.1778211972952436e-14,1.4279247650265813e-11,0,0,12.024502108535724,378.2651805644185,SPAG5;CDCA5;PLK1;KIF14;CDCA8;NCAPG;KIF23;KIF11;SMC4;NDC80;TPX2;CENPE;CCNB1;KIF18B;KIFC1;PRC1;NUSAP1;KIF2C;CEP55;DLGAP5
GO_Biological_Process_2023,Positive Regulation Of Cell Cycle Process (GO:0090068),18/118,8.484736317410913e-12,4.172369084086816e-09,0,0,9.788690807799442,249.5406700462448,STIL;FEN1;SPAG5;KIF14;CDCA8;NCAPG;KIF23;SMC6;SMC4;NDC80;AURKB;AURKA;DBF4;RACGAP1;NUSAP1;BIRC5;ECT2;MAD2L1
GO_Biological_Process_2023,Spindle Assembly Checkpoint Signaling (GO:0071173),10/26,2.0419864021675132e-11,5.737981790090713e-09,0,0,33.39066757493188,821.8950198426724,CDC20;CENPF;NUF2;PLK1;BUB1B;TTK;TRIP13;BUB1;NDC80;MAD2L1
GO_Biological_Process_2023,Mitotic Spindle Assembly Checkpoint Signaling (GO:0007094),10/26,2.0419864021675132e-11,5.737981790090713e-09,0,0,33.39066757493188,821.8950198426724,CDC20;CENPF;NUF2;PLK1;BUB1B;TTK;TRIP13;BUB1;NDC80;MAD2L1
GO_Biological_Process_2023,Mitotic Spindle Checkpoint Signaling (GO:0071174),10/26,2.0419864021675132e-11,5.737981790090713e-09,0,0,33.39066757493188,821.8950198426724,CDC20;CENPF;NUF2;PLK1;BUB1B;TTK;TRIP13;BUB1;NDC80;MAD2L1
GO_Biological_Process_2023,Regulation Of Cell Cycle Process (GO:0010564),18/130,4.5062146683111976e-11,1.0661748602190914e-08,0,0,8.734530441703143,208.0825312828668,CDCA2;SPAG5;PLK1;ACTL6A;KIF11;MKI67;AURKB;AURKA;DBF4;RACGAP1;PRC1;CHEK1;NEK2;KIF2C;KIF20A;ECT2;BUB1;MCM2
GO_Biological_Process_2023,Negative Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0045841),10/28,4.8782784656694575e-11,1.0661748602190914e-08,0,0,29.67756584922797,704.6535475892208,CDC20;CENPF;NUF2;PLK1;BUB1B;TTK;TRIP13;BUB1;NDC80;MAD2L1
GO_Biological_Process_2023,Mitotic Cytokinesis (GO:0000281),13/59,5.7088482456648666e-11,1.1229304499222793e-08,0,0,15.199534161490684,358.5025772019747,PLK1;CDCA8;KIF23;AURKB;ANLN;RACGAP1;KIF4A;CFL1;NUSAP1;BIRC5;KIF20A;ECT2;CEP55
GO_Biological_Process_2023,Mitotic Metaphase Plate Congression (GO:0007080),12/50,1.0769947050338152e-10,1.9258623498195583e-08,0,0,16.94448449891853,388.9043258004039,CDT1;CENPE;CCNB1;KIFC1;CDCA5;NUF2;KIF14;CDCA8;KIF2C;MAPRE1;CEP55;NDC80
GO_Biological_Process_2023,Metaphase Plate Congression (GO:0051310),11/51,2.2378100177300396e-09,3.668143587395823e-07,0,0,14.714002732240438,293.0700945373315,CENPE;CCNB1;CENPF;KIFC1;CDCA5;KIF14;CDCA8;KIF2C;FAM83D;CEP55;NDC80
GO_Biological_Process_2023,Cytoskeleton-Dependent Cytokinesis (GO:0061640),13/81,3.642235410979204e-09,5.510982348766227e-07,0,0,10.270483193277313,199.5623513866232,PLK1;CDCA8;KIF23;AURKB;ANLN;RACGAP1;KIF4A;CFL1;NUSAP1;BIRC5;KIF20A;ECT2;CEP55
GO_Biological_Process_2023,Mitotic Spindle Assembly (GO:0090307),10/44,7.051685357893521e-09,9.907617927840395e-07,0,0,15.698829940695624,294.6670252839096,TPX2;RACGAP1;KIFC1;PRC1;KIF4A;CDCA8;BIRC5;KIF23;KIF11;AURKB
GO_Biological_Process_2023,Mitotic Spindle Elongation (GO:0000022),6/10,8.494498756909172e-09,1.0442924409275214e-06,0,0,79.32210242587601,1474.1098221849024,RACGAP1;PRC1;KIF4A;BIRC5;CDCA8;KIF23
GO_Biological_Process_2023,Mitotic Spindle Midzone Assembly (GO:0051256),6/10,8.494498756909172e-09,1.0442924409275214e-06,0,0,79.32210242587601,1474.1098221849024,RACGAP1;PRC1;KIF4A;BIRC5;CDCA8;KIF23
GO_Biological_Process_2023,DNA Metabolic Process (GO:0006259),22/288,3.2053400708497484e-08,3.615221566796258e-06,0,0,4.5097320766705495,77.81931686524746,TOP2A;FEN1;RFC4;RFC2;ACTL6A;DONSON;MCM10;TYMS;UCHL5;MSH6;RAD51AP1;CDC45;MSH2;EXO1;UBE2T;CHEK1;CDK1;UBE2N;MCM4;MCM6;KPNA2;MCM2
GO_Biological_Process_2023,Regulation Of Chromosome Segregation (GO:0051983),8/28,3.308286131282799e-08,3.615221566796258e-06,0,0,21.249864498644985,366.0129886583625,CDCA2;NCAPG;KIF2C;SMC6;HORMAD1;MKI67;SMC4;BUB1
GO_Biological_Process_2023,Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315),6/12,3.619877697228816e-08,3.747526016025832e-06,0,0,52.87601078167116,905.9902856242634,CDT1;CENPE;NUF2;KIF2C;MAPRE1;NDC80
GO_Biological_Process_2023,DNA Replication (GO:0006260),11/73,1.1540264429900545e-07,1.1349850066807184e-05,0,0,9.48224043715847,151.47726025540686,FEN1;RFC4;RNASEH1;RFC2;CHEK1;DONSON;CDK1;MCM4;BAZ1A;MCM6;MCM2
GO_Biological_Process_2023,Mitotic Nuclear Division (GO:0140014),9/45,1.32942024021685e-07,1.2452236250031162e-05,0,0,13.306385869565217,210.68470081305875,KIF18B;SPAG5;UBE2C;KIFC1;UBE2S;PLK1;NUSAP1;SMC4;NDC80
GO_Biological_Process_2023,Sister Chromatid Segregation (GO:0000819),8/34,1.7506679147148262e-07,1.4972806951182668e-05,0,0,16.34104648738795,254.23560709011545,TOP2A;KIF18B;SPAG5;KIFC1;PLK1;NUSAP1;SMC4;NDC80
GO_Biological_Process_2023,Mitotic Cell Cycle Phase Transition (GO:0044772),13/111,1.750760345079824e-07,1.4972806951182668e-05,0,0,7.115524781341108,110.70365812289792,UBE2C;PLK1;FOXM1;GSPT1;AURKA;CCNA2;CCNB2;CCNB1;MELK;DBF4;UBE2S;CDK1;CDKN3
GO_Biological_Process_2023,Positive Regulation Of Mitotic Sister Chromatid Separation (GO:1901970),6/15,1.868925516411549e-07,1.5317402044922988e-05,0,0,35.24528301886792,546.0457232079535,CDC20;UBE2C;CDCA8;BIRC5;AURKB;DLGAP5
GO_Biological_Process_2023,Regulation Of Attachment Of Spindle Microtubules To Kinetochore (GO:0051988),5/9,2.744123615758959e-07,2.159076460879149e-05,0,0,65.92405913978494,996.0224742593985,CCNB1;RACGAP1;SPAG5;NEK2;ECT2
GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle Spindle Assembly Checkpoint (GO:0090266),6/17,4.475973650608306e-07,3.386246219517899e-05,0,0,28.83410928693948,421.5365626692748,CCNB1;CDCA8;BIRC5;AURKB;NDC80;MAD2L1
GO_Biological_Process_2023,Kinetochore Organization (GO:0051383),5/10,5.403348195953877e-07,3.795852107657599e-05,0,0,52.736559139784944,761.0453379218529,CENPE;CENPF;CENPW;NUF2;DLGAP5
GO_Biological_Process_2023,Mitotic DNA Replication (GO:1902969),5/10,5.403348195953877e-07,3.795852107657599e-05,0,0,52.736559139784944,761.0453379218529,GINS1;MCM4;MCM6;TK1;MCM2
GO_Biological_Process_2023,Cell Cycle G2/M Phase Transition (GO:0044839),8/40,6.718101896116608e-07,4.5567263550556446e-05,0,0,13.273035230352304,188.65349880643407,CCNA2;CCNB1;MELK;PLK1;CDK1;FOXM1;AURKB;AURKA
GO_Biological_Process_2023,Centromere Complex Assembly (GO:0034508),5/14,4.0333570887190645e-06,0.00026445377978367995,0,0,29.2921146953405,363.834764404102,CENPE;CENPF;CENPW;HJURP;DLGAP5
GO_Biological_Process_2023,Regulation Of Mitotic Cell Cycle (GO:0007346),12/125,4.395546620009037e-06,0.000278904522630896,0,0,5.676324402957935,70.01699980624844,FOXA1;CDC20;CCNB1;CDCA2;PLK1;CKS2;NEK2;MKI67;DLGAP5;CKS1B;AURKA;MAD2L1
GO_Biological_Process_2023,Mitotic Chromosome Condensation (GO:0007076),5/15,5.95661204102564e-06,0.000363565764888058,0,0,26.361559139784948,317.1561470401901,CDCA5;PLK1;NUSAP1;NCAPG;SMC4
GO_Biological_Process_2023,G2/M Transition Of Mitotic Cell Cycle (GO:0000086),7/38,6.099476482616122e-06,0.000363565764888058,0,0,11.956756756756755,143.56845643207407,CCNA2;CCNB1;MELK;PLK1;CDK1;FOXM1;AURKA
