Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Cell cycle,20/124,1.9539139155611682e-13,4.650315119035579e-11,0,0,10.514436543848309,307.6920706970509,PCNA;PLK1;BUB1B;TTK;YWHAZ;CDC20;CCNA2;CCNB2;CCNB1;DBF4;CDC45;PTTG1;CHEK1;CDK1;MCM4;MCM6;BUB1;YWHAH;MCM2;MAD2L1
KEGG_2021_Human,Oocyte meiosis,16/129,2.845823905267949e-09,3.38653044726886e-07,0,0,7.652293285612727,150.5773370131152,PLK1;PPP2R5C;YWHAZ;AURKA;CDC20;AR;CCNB2;CCNB1;PTTG1;CDK1;MAPK1;PGR;CPEB2;BUB1;YWHAH;MAD2L1
KEGG_2021_Human,DNA replication,8/36,2.823271015266817e-07,2.239795005445008e-05,0,0,15.172280294231514,228.8010137633825,FEN1;PCNA;RNASEH1;RFC4;RFC2;MCM4;MCM6;MCM2
KEGG_2021_Human,Progesterone-mediated oocyte maturation,12/100,3.997228203831406e-07,2.3783507812796864e-05,0,0,7.298256537982565,107.52152415274304,CCNA2;CCNB2;CCNB1;PLK1;CDK1;GNAI3;MAPK1;PGR;CPEB2;BUB1;AURKA;MAD2L1
KEGG_2021_Human,Mismatch repair,6/23,3.3174550628650907e-06,0.00015791086099237832,0,0,18.651656889170763,235.315134125992,MSH6;PCNA;RFC4;MSH2;RFC2;EXO1
KEGG_2021_Human,p53 signaling pathway,8/73,6.835241409392649e-05,0.0027113124257257,0,0,6.523410464873879,62.56494476776621,TP53AIP1;CCNB2;CCNB1;RRM2;CHEK1;CDK1;CYCS;GTSE1
KEGG_2021_Human,AMPK signaling pathway,9/120,0.0004541627897449977,0.0140995964371603,0,0,4.299059929494712,33.090100108584494,CCNA2;RAB10;RHEB;LEP;AKT1S1;SCD5;PPP2R5C;ACACB;ELAVL1
KEGG_2021_Human,One carbon pool by folate,4/20,0.0004739360146944656,0.0140995964371603,0,0,13.14142091152815,100.5901946937013,ALDH1L1;MTHFD2;TYMS;GART
KEGG_2021_Human,Pathogenic Escherichia coli infection,11/197,0.0013329273777773,0.0337465009818267,0,0,3.140710382513661,20.79268903997405,ACTR3;CLDN5;ACTR2;RAB1A;SEC24A;ARPC5L;CLDN19;CYCS;MAPK1;ARPC5;EZR
KEGG_2021_Human,Tight junction,10/169,0.0014179202093204,0.0337465009818267,0,0,3.335561153668192,21.8764917102797,ACTR3;CLDN5;ACTR2;PRKCI;PCNA;ERBB2;ARPC5L;CLDN19;ARPC5;EZR
